Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
urbanites, 9, 9, 5, 0, e s i a t,0,6,1,0
urbanity, 8, 8, 8, 2, e i n a s y t u,0,8,3,0
urchin, 6, 6, 5, 3, e a i o u,0,8,5,0
urchins, 7, 7, 7, 3, e i n g s o u,0,8,4,0
urea, 4, 4, 8, 5, e s d r w p t a,0,8,5,0
ureter, 6, 4, 5, 2, e d s r t,0,5,3,0
ureters, 7, 5, 4, 0, e r s t,0,6,4,0
urethane, 8, 7, 4, 1, e r a g,0,3,0,0
urethra, 7, 6, 3, 0, e r t,0,3,0,0
urethrae, 8, 6, 2, 0, e r,0,3,0,0
urethral, 8, 7, 8, 2, e i r a h t u s,0,7,4,0
urethras, 8, 7, 8, 1, e i r a h t u s,0,7,3,0
urethritis, 10, 7, 2, 0, e i,0,2,0,0
urge, 4, 4, 5, 3, e a o i u,0,8,6,0
urged, 5, 5, 9, 5, e s d a o i u n g,0,10,8,0
urgency, 7, 7, 6, 3, e a i o u r,0,8,5,0
urgent, 6, 6, 7, 3, e s n t a o u,0,8,4,0
urgently, 8, 8, 7, 0, e r n l y t g,0,8,4,0
urges, 5, 5, 6, 3, e s a i o u,0,8,5,0
urging, 6, 5, 5, 2, e a i n g,0,13,9,3
urgings, 7, 6, 5, 1, e i s n g,0,13,8,0
urinary, 7, 6, 6, 1, e i r y a n,0,7,4,0
urine, 5, 5, 10, 6, e a o i r p t b m n,0,13,8,0
urn, 3, 3, 6, 4, a o e i u n,0,8,6,0
urns, 4, 4, 6, 4, e a o i u s,0,8,5,0
urologist, 9, 8, 5, 3, e i n a o,0,5,2,0
ursine, 6, 6, 5, 1, e l i r s,0,8,3,0
urticaria, 9, 6, 3, 1, e i a,0,3,1,0
uruguay, 7, 5, 6, 3, e i a o u y,0,8,6,0
us, 2, 2, 6, 4, o e i a u s,0,13,11,2
usability, 9, 8, 8, 2, e i n t y l a b,0,7,3,0
usable, 6, 6, 6, 0, e l a b u s,0,7,4,0
usage, 5, 5, 3, 0, e a s,0,7,4,0
usages, 6, 5, 4, 2, e r d s,0,7,4,0
usances, 7, 6, 4, 2, e r d s,0,7,3,0
use, 3, 3, 6, 3, a o e i u s,0,7,5,0
useable, 7, 6, 3, 1, e r s,0,6,4,0
used, 4, 4, 4, 1, e s u r,0,8,6,0
useful, 6, 5, 3, 0, e s u,0,7,5,0
usefully, 8, 6, 4, 2, e i r s,0,7,5,0
usefulness, 10, 6, 2, 0, e s,0,7,4,0
useless, 7, 4, 3, 1, e r s,0,7,5,0
uselessly, 9, 5, 3, 1, e r l,0,5,4,0
uselessness, 11, 5, 1, 0, e,0,1,0,0
user, 4, 4, 4, 0, e s u r,0,8,5,0
userfriendliness, 16, 9, 2, 0, i l,0,1,0,0
userfriendly, 12, 10, 3, 1, i a e,0,4,3,0
users, 5, 4, 2, 0, e s,0,7,5,0
