Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
conveys, 7, 7, 9, 4, e s r t l n y o k,0,12,7,0
convict, 7, 6, 6, 2, e i n s o t,0,7,3,0
convicted, 9, 8, 6, 1, e s d n c t,0,7,2,0
convicting, 10, 7, 6, 1, e i n g o c,0,7,3,0
conviction, 10, 6, 3, 1, e i n,0,5,2,0
convictions, 11, 7, 4, 1, e i s n,0,5,2,0
convicts, 8, 7, 6, 1, e i s n o t,0,7,2,0
convince, 8, 6, 7, 2, e a i l o n c,0,6,2,0
convinced, 9, 7, 7, 1, e s d n i o c,0,7,3,0
convinces, 9, 7, 4, 0, e s i c,0,7,2,0
convincing, 10, 6, 6, 1, e i n g o c,0,6,3,0
convincingly, 12, 8, 2, 0, i n,0,6,3,0
convivial, 9, 7, 5, 1, e i n a l,0,8,4,0
conviviality, 12, 9, 2, 0, i n,0,4,1,0
convocation, 11, 7, 6, 1, e i n t o c,0,7,2,0
convocations, 12, 8, 7, 0, i t s o n v c,0,7,1,0
convoluted, 10, 9, 6, 2, e s d t a o,0,5,2,0
convolution, 11, 8, 8, 1, e i n t o c l u,0,5,2,0
convolutions, 12, 9, 7, 0, i t s o n v c,0,5,2,0
convolve, 8, 6, 5, 3, e a i o s,0,6,3,0
convolved, 9, 7, 7, 2, e s d n c o r,0,8,5,0
convoy, 6, 5, 7, 5, e a i o r n l,0,10,8,0
convoys, 7, 6, 8, 3, e i a o s n c y,0,10,7,0
convulse, 8, 8, 6, 2, e a i o u n,0,7,3,0
convulsed, 9, 9, 6, 1, e s d i o l,0,7,3,0
convulses, 9, 8, 4, 0, e s o l,0,7,3,0
convulsing, 10, 9, 6, 1, e i n c o s,0,7,3,0
convulsion, 10, 8, 6, 1, e i n o c l,0,10,5,0
convulsions, 11, 8, 5, 1, e i s n u,0,10,5,0
convulsive, 10, 9, 5, 1, e a i o v,0,10,4,0
convulsively, 12, 10, 5, 0, i e c y v,0,10,4,0
cony, 4, 4, 12, 8, e a o s l r n d y t p c,0,19,15,7
coo, 3, 2, 10, 8, a o z w t r m l g c,0,12,10,6
cooed, 5, 4, 8, 4, e s d a o w m c,0,12,8,0
cooing, 6, 5, 9, 4, e a i n g o w m c,0,12,8,0
cook, 4, 3, 15, 12, e a o l m f t n p d s k r h c,9,16,14,14
cookbook, 8, 4, 4, 3, e i a o,0,4,3,0
cookbooks, 9, 5, 4, 3, e i a o,0,4,3,0
cooked, 6, 5, 10, 5, e r d a o l t k h c,0,16,12,2
cooker, 6, 5, 9, 5, e r a i o l h c p,0,16,12,2
cookers, 7, 6, 10, 4, e s r a i o k l h c,0,16,11,2
cookery, 7, 6, 6, 2, e s r y o l,0,10,7,0
cookies, 7, 6, 8, 2, e r d s i o k c,0,12,7,0
cooking, 7, 6, 12, 6, e i n g a o l t m k h c,0,12,8,0
cooks, 5, 4, 13, 10, e s a o l d r n h b f c p,3,16,13,6
cookware, 8, 7, 5, 1, e a t c r,0,7,4,0
cool, 4, 3, 8, 6, e a o l w t p f,0,12,9,4
coolant, 7, 6, 5, 3, e i a s o,0,4,1,0
coolants, 8, 7, 5, 2, e i a s o,0,4,1,0
cooled, 6, 5, 9, 5, e r d a o l t p f,0,12,7,0
cooler, 6, 5, 6, 2, e r a i o l,0,10,6,0
coolers, 7, 6, 10, 5, e s r a i o k t c p,0,10,5,0
coolest, 7, 6, 7, 3, e s t i a o r,0,8,4,0
cooling, 7, 6, 10, 5, e i n g a o l t p f,0,12,7,0
coolness, 8, 6, 6, 1, e s n a l o,0,10,5,0
cools, 5, 4, 9, 6, e s a o l w t p f,0,12,8,0
coon, 4, 3, 11, 8, e a o l m f t n s g c,0,12,9,4
coons, 5, 4, 11, 7, e s a o l d r n m g c,0,12,8,0
coop, 4, 3, 10, 8, e a o l m f t n p h,0,16,13,14
cooped, 6, 5, 10, 6, e r d a o l t k p h,0,16,11,2
cooper, 6, 5, 9, 4, e r a i o l h c p,0,16,11,2
cooperate, 9, 7, 3, 0, e a o,0,4,0,0
cooperated, 10, 8, 8, 1, e r a t p o c s,0,7,3,0
cooperates, 10, 8, 8, 0, e r a t p o c s,0,7,2,0
cooperating, 11, 10, 5, 0, e n i g r,0,4,0,0
cooperation, 11, 9, 3, 0, e n o,0,4,0,0
cooperative, 11, 9, 6, 0, e a i t v r,0,4,0,0
cooperatively, 13, 11, 7, 0, i t l y e v o,0,3,0,0
cooperatives, 12, 10, 4, 0, i t s o,0,3,0,0
coopers, 7, 6, 10, 4, e s r a i o k t c p,0,16,10,2
coops, 5, 4, 13, 9, e s a o l d r n h b f c p,3,16,12,6
coordinate, 10, 9, 5, 1, e a i t l,0,4,0,0
coordinated, 11, 9, 7, 0, e i t a o n d,0,7,1,0
coordinates, 11, 10, 7, 0, e i t a o n d,0,7,0,0
coordinating, 12, 9, 3, 0, i t n,0,4,1,0
coordination, 12, 8, 5, 0, i t n a r,0,4,1,0
coordinator, 11, 8, 6, 1, e i a c t r,0,4,1,0
coordinators, 12, 9, 3, 1, i e o,0,4,1,0
coos, 4, 3, 14, 11, e a o l m f t n p d s z w c,9,12,9,5
cop, 3, 3, 12, 10, a o t d b w p s m l h f,2,16,13,35
cope, 4, 4, 10, 7, e a o r l d n p m h,0,16,12,12
coped, 5, 5, 10, 6, e s d a o p r m l h,0,16,11,3
copes, 5, 5, 11, 7, e s a i o d p r m l h,0,16,11,4
copied, 6, 6, 10, 5, e r d a o l t c n i,0,11,7,0
copier, 6, 6, 9, 4, e r a i o s d c z,0,16,10,2
copiers, 7, 7, 5, 1, e s r a i,0,7,3,0
copies, 6, 6, 10, 6, e r d s l i o n g v,0,12,7,0
copilot, 7, 6, 6, 4, e i s a u t,0,5,2,0
coping, 6, 6, 12, 7, e a i n g o p r m l h d,0,16,11,4
copious, 7, 6, 7, 3, e i s n r u o,0,6,4,0
copiously, 9, 8, 9, 3, e i a l y s u o x,0,6,4,0
coplanar, 8, 7, 5, 2, e i a o r,0,6,3,0
copout, 6, 5, 9, 5, e a i o s n c u t,0,8,6,0
copouts, 7, 6, 6, 4, e i a o u r,0,8,5,0
copper, 6, 5, 11, 6, e r a i o l t d c n p,0,15,11,3
copperplate, 11, 8, 6, 0, e a t r l p,0,4,0,0
coppers, 7, 6, 11, 5, e s r a i o l d c n p,0,15,10,2
coppery, 7, 6, 6, 1, e s r y o p,0,12,8,0
coppice, 7, 5, 6, 2, e a i o c n,0,10,7,0
coppiced, 8, 6, 6, 2, e s d a o c,0,10,7,0
coppices, 8, 6, 6, 1, e s i r c p,0,10,6,0
coppicing, 9, 6, 8, 3, e i n g r s o c,0,10,7,0
copra, 5, 5, 6, 3, e s a o g p,0,16,11,2
coprocessor, 11, 6, 4, 2, e i l o,0,4,2,0
coprocessors, 12, 6, 4, 2, i e l o,0,4,2,0
coproduced, 10, 7, 6, 1, e s d u r o,0,6,4,0
coprolite, 9, 8, 6, 1, e a i o c r,0,7,3,0
coprophagous, 12, 9, 3, 2, i e o,0,4,2,0
cops, 4, 4, 12, 9, e a o s t b d w p m h f,1,16,12,23
copse, 5, 5, 8, 5, e a o s r u i w,0,12,8,0
copses, 6, 5, 7, 4, e r d s u o i,0,9,6,0
copulate, 8, 8, 8, 1, e a t i o l u p,0,12,6,0
copulating, 10, 10, 10, 1, e i n g a o t l u p,0,12,5,0
copulation, 10, 9, 5, 1, e i n o p,0,12,5,0
copulations, 11, 10, 10, 1, e i s o t n u a l p,0,12,4,0
copulatory, 10, 9, 4, 2, e i o u,0,4,1,0
copy, 4, 4, 12, 9, e a o s l r n y d b f p,3,14,12,20
copyable, 8, 8, 8, 3, e a l b i u o r,0,10,6,0
copycat, 7, 6, 6, 3, e i a o r t,0,4,1,0
copycats, 8, 7, 7, 4, e i a o r l t,0,7,3,0
copying, 7, 7, 12, 7, e i n g a o r l t b s p,0,14,10,2
copyist, 7, 7, 8, 5, e i n s h t l r,0,7,3,0
copyists, 8, 7, 6, 2, e i s t r y,0,7,3,0
copyright, 9, 9, 10, 4, e i s a h t g o r n,0,6,3,0
copyrightable, 13, 13, 4, 0, i e l b,0,4,0,0
copyrighted, 11, 11, 4, 1, e i t a,0,5,1,0
copyrighting, 12, 10, 6, 0, i t n g h r,0,5,2,0
copyrights, 10, 10, 5, 2, e i l s t,0,5,2,0
copywriter, 10, 9, 5, 2, e s d r w,0,6,2,0
coquette, 8, 6, 5, 2, e n t o r,0,8,5,0
coquettes, 9, 7, 7, 2, e s i c o t v,0,8,4,0
coquettish, 10, 9, 5, 1, e i n s u,0,6,2,0
coquettishly, 12, 11, 7, 0, i e l y s h u,0,2,0,0
cor, 3, 3, 12, 9, a o t d b w p n c y x r,3,12,9,2
coracle, 7, 6, 6, 1, e a l b r c,0,8,4,0
coral, 5, 5, 8, 4, e s a o l n r m,0,12,7,0
coralline, 9, 8, 5, 0, e a i r n,0,6,1,0
corals, 6, 6, 7, 2, e a s o l r m,0,12,6,0
cord, 4, 4, 12, 9, e a o s l r n t k d w f,1,12,8,0
cordage, 7, 7, 9, 3, e a t r o g c s k,0,12,6,0
cordate, 7, 7, 7, 1, e a t i o c d,0,8,3,0
corded, 6, 5, 6, 2, e r d o w f,0,12,7,0
cordial, 7, 7, 8, 4, e i n s y a l r,0,6,3,0
cordiality, 10, 9, 4, 2, e i n t,0,5,1,0
cordially, 9, 8, 6, 1, e i a y l r,0,5,2,0
cordials, 8, 8, 7, 2, e i s n o l r,0,5,2,0
cordillera, 10, 8, 4, 2, e s t l,0,3,1,0
cordite, 7, 7, 7, 2, e a i o c n t,0,5,1,0
cordless, 8, 7, 8, 3, e s n l o r w m,0,12,5,0
cordon, 6, 5, 8, 5, e a i o r n m g,0,11,7,0
cordoned, 8, 6, 5, 1, e s d o n,0,8,4,0
cordons, 7, 6, 10, 5, e i a o s n c p t d,0,11,6,0
cords, 5, 5, 13, 9, e s a o l r n t w f c p k,1,12,7,0
corduroy, 8, 6, 5, 3, e i a o r,0,8,6,0
corduroys, 9, 7, 7, 3, e i a o s r u,0,7,5,0
core, 4, 4, 14, 10, e a o r y w t s p m l g f c,3,12,8,0
cores, 5, 5, 11, 6, e s a i o d p m r g c,0,12,7,0
corespondent, 12, 9, 3, 1, i e r,0,4,1,0
corgi, 5, 5, 8, 6, e s a o y u i b,0,8,5,0
corgis, 6, 6, 8, 4, e a i o n r d c,0,7,4,0
coriander, 9, 8, 4, 1, e s d r,0,5,1,0
corinth, 7, 7, 6, 4, e i s a u t,0,5,2,0
cork, 4, 4, 13, 10, e a o s l r n t k y w p f,2,12,9,8
corkage, 7, 7, 9, 2, e a t r o g c s k,0,12,7,0
corked, 6, 6, 11, 6, e r d a u o f n t k w,0,12,7,0
corks, 5, 5, 13, 8, e s a o l r n t w f c p k,0,16,12,2
corkscrew, 9, 7, 4, 1, e s i r,0,6,4,0
corkscrews, 10, 7, 2, 0, e s,0,6,4,0
corky, 5, 5, 11, 7, e s a o y d l r n k p,0,12,9,4
cormorant, 9, 7, 7, 2, e i a o c t n,0,6,2,0
cormorants, 10, 8, 5, 2, e i o a n,0,6,2,0
corn, 4, 4, 13, 9, e a o s l r n w t p m h c,2,12,8,0
corncrake, 9, 7, 4, 1, e a t c,0,8,3,0
cornea, 6, 6, 5, 2, e r d s a,0,4,1,0
corneal, 7, 7, 4, 1, e s r n,0,7,3,0
corneas, 7, 7, 4, 0, e s r a,0,7,2,0
corned, 6, 6, 9, 4, e r d a u o f n h,0,9,5,0
corner, 6, 5, 10, 6, e r a o k s g m t n,0,8,4,0
cornered, 8, 6, 5, 1, e d r n a,0,6,3,0
cornering, 9, 7, 4, 0, e i n g,0,6,2,0
corners, 7, 6, 9, 5, e s r a o k f d t,0,7,3,0
cornerstone, 11, 7, 4, 2, e a i t,0,4,1,0
cornerstones, 12, 7, 3, 1, i e o,0,3,1,0
cornet, 6, 6, 9, 4, e r d s a t o n h,0,9,4,0
cornets, 7, 7, 8, 2, e s r a t o n h,0,9,3,0
cornfield, 9, 9, 3, 1, e s n,0,6,2,0
cornfields, 10, 10, 7, 0, e s o d i f l,0,6,2,0
cornflake, 9, 9, 5, 1, e a t c n,0,8,3,0
cornflakes, 10, 10, 6, 1, e s a t r k,0,8,2,0
cornflour, 9, 7, 6, 4, e i a o s n,0,6,4,0
cornflower, 10, 8, 5, 2, e s d r l,0,4,2,0
cornflowers, 11, 9, 4, 0, e s r l,0,4,2,0
cornice, 7, 6, 6, 1, e a i o c n,0,6,2,0
cornices, 8, 7, 6, 0, e s i r o c,0,6,2,0
cornish, 7, 7, 8, 3, e i n s h r a u,0,6,3,0
cornmeal, 8, 8, 5, 2, e s t l o,0,9,4,0
corns, 5, 5, 10, 6, e s a o l r n p m h,0,12,7,0
cornucopia, 10, 8, 4, 1, e i o p,0,4,2,0
corny, 5, 5, 10, 6, e s a o y d l r n h,0,9,6,0
corollaries, 11, 8, 3, 0, e i o,0,5,1,0
corollary, 9, 6, 5, 2, e i a o r,0,7,5,0
corona, 6, 5, 5, 2, e a i o n,0,6,3,0
coronal, 7, 6, 8, 3, e i a o n r c s,0,7,4,0
coronaries, 10, 8, 6, 0, e s a r i n,0,5,1,0
coronary, 8, 6, 6, 2, e i a o y n,0,6,3,0
coronas, 7, 6, 8, 2, e i a o n r c s,0,7,3,0
coronation, 10, 7, 4, 1, e i n t,0,4,1,0
coronations, 11, 8, 4, 1, e i s o,0,4,1,0
coroner, 7, 5, 6, 4, e r i a h s,0,8,4,0
coroners, 8, 6, 5, 2, e s r h a,0,8,3,0
coronet, 7, 6, 7, 2, e r s d n t o,0,4,1,0
coronets, 8, 7, 7, 1, e s r l t n o,0,4,1,0
corpora, 7, 5, 6, 3, e i a o l r,0,7,5,0
corporal, 8, 6, 6, 2, e i a o l r,0,6,4,0
corporals, 9, 7, 6, 3, e i a o c t,0,4,2,0
corporate, 9, 7, 5, 1, e a t i o,0,4,0,0
corporately, 11, 9, 7, 1, e s t y l a p,0,4,0,0
corporates, 10, 8, 6, 1, e s a t i o,0,7,2,0
corporation, 11, 8, 7, 1, e i n o t a c,0,8,2,0
corporations, 12, 9, 7, 0, i t s o n a c,0,8,1,0
corporatism, 11, 9, 5, 2, e i n s t,0,4,1,0
corporatist, 11, 8, 6, 2, e i n s t a,0,3,1,0
corporeal, 9, 7, 4, 2, e s n r,0,4,1,0
corporeally, 11, 8, 3, 1, e i l,0,3,1,0
corps, 5, 5, 12, 7, e s a o l r n t w f c p,0,16,11,2
corpse, 6, 6, 7, 4, e l i a o u r,0,8,4,0
corpses, 7, 6, 4, 0, e r s p,0,8,4,0
corpulent, 9, 9, 6, 2, e s n t r a,0,6,2,0
corpus, 6, 6, 6, 3, e a i o u p,0,12,8,0
corpuscle, 9, 8, 4, 2, e a i o,0,5,3,0
corpuscles, 10, 8, 3, 0, e s o,0,6,4,0
corpuscular, 11, 8, 4, 2, e i o u,0,4,2,0
corral, 6, 5, 6, 2, e a l i o r,0,8,5,0
corralled, 9, 7, 7, 4, e s d n a t g,0,8,4,0
corrals, 7, 6, 6, 2, e i a s o r,0,8,4,0
correct, 7, 5, 5, 1, e s r t c,0,8,4,0
correctable, 11, 8, 6, 1, e a b l n r,0,8,3,0
corrected, 9, 6, 6, 2, e s d n r t,0,8,4,0
correcting, 10, 8, 5, 0, e i n g r,0,8,2,0
correction, 10, 7, 7, 0, e i n o t c r,0,8,2,0
correctional, 12, 9, 6, 0, i e l a n r,0,6,0,0
corrections, 11, 8, 8, 0, e n i o s t c r,0,8,1,0
corrective, 10, 7, 2, 0, e r,0,8,3,0
correctly, 9, 7, 7, 1, e i r y l t c,0,4,1,0
correctness, 11, 7, 3, 0, e s n,0,2,0,0
corrector, 9, 5, 3, 1, e i r,0,8,4,0
correctors, 10, 6, 4, 1, e i s r,0,8,3,0
corrects, 8, 6, 4, 1, e s n r,0,8,3,0
correlate, 9, 7, 4, 0, e a o t,0,4,0,0
correlated, 10, 8, 8, 1, e r c t a l o s,0,7,3,0
correlates, 10, 8, 8, 0, e r c t a l o s,0,7,2,0
correlating, 11, 10, 6, 0, e n i g r a,0,4,0,0
correlation, 11, 9, 4, 0, e n o i,0,4,0,0
correlations, 12, 10, 9, 1, i t s o n a r c g,0,4,0,0
correlative, 11, 9, 6, 0, e a i t v r,0,4,0,0
correspond, 10, 8, 4, 1, e i s o,0,6,3,0
corresponded, 12, 8, 3, 1, i e o,0,4,2,0
correspondence, 14, 8, 2, 1, i e,0,1,0,0
correspondences, 15, 8, 2, 1, i e,0,1,0,0
correspondent, 13, 9, 3, 1, i e s,0,2,0,0
correspondents, 14, 9, 2, 1, i e,0,1,0,0
corresponding, 13, 10, 4, 0, i n g e,0,4,2,0
correspondingly, 15, 12, 2, 0, i e,0,3,2,0
corresponds, 11, 8, 4, 0, e n s p,0,4,2,0
corridor, 8, 5, 6, 4, e i s l n o,0,8,5,0
corridors, 9, 6, 6, 3, e i a o s p,0,8,4,0
corrigenda, 10, 9, 4, 1, e s i a,0,3,1,0
corroborate, 11, 7, 4, 1, e a t i,0,4,0,0
corroborated, 12, 8, 9, 2, i e r t a b o c s,0,7,3,0
corroborates, 12, 8, 9, 1, i e r t a b o c s,0,7,2,0
corroborating, 13, 9, 4, 0, i n g r,0,4,1,0
corroboration, 13, 8, 3, 0, i n o,0,4,1,0
corroborative, 13, 9, 3, 1, i n o,0,4,0,0
corroboratory, 13, 7, 3, 2, i e o,0,4,1,0
corrode, 7, 5, 9, 4, e a i u o c n d r,0,8,5,0
corroded, 8, 5, 4, 1, e s d o,0,11,7,0
corrodes, 8, 6, 9, 3, e s i a u o c d r,0,8,4,0
corroding, 9, 7, 7, 2, e i n g r o w,0,11,6,0
corrosion, 9, 6, 6, 1, e i n o c s,0,4,3,0
corrosive, 9, 7, 6, 1, e a i o c r,0,5,2,0
corrugated, 10, 9, 9, 2, e s d t a i o u r,0,8,3,0
corrugations, 12, 10, 9, 0, i t s o n a r c g,0,8,1,0
corrupt, 7, 6, 8, 5, e i a o u s t n,0,6,4,0
corrupted, 9, 8, 8, 4, e s d n a i t r,0,7,4,0
corruptible, 11, 10, 7, 1, e a i l t u b,0,7,3,0
corrupting, 10, 9, 6, 2, e i n g a o,0,6,2,0
corruption, 10, 8, 5, 1, e i n o p,0,7,3,0
corruptions, 11, 9, 7, 1, e i s o t n u,0,5,2,0
corruptly, 9, 8, 5, 3, e i a o u,0,5,3,0
corrupts, 8, 7, 8, 4, e i a o u t s n,0,7,4,0
corsage, 7, 7, 8, 1, e a t r o g c s,0,12,6,0
corse, 5, 5, 9, 5, e a o s r w m h g,0,12,7,0
corset, 6, 6, 8, 4, e r d s o n l y,0,7,3,0
corsets, 7, 6, 6, 2, e s r o n l,0,7,3,0
corsica, 7, 6, 5, 2, e i n s a,0,5,2,0
corslet, 7, 7, 5, 2, e r s a d,0,7,3,0
cortege, 7, 6, 4, 0, e c o t,0,4,1,0
cortex, 6, 6, 9, 4, e r d s a t x o v,0,12,7,0
cortical, 8, 7, 6, 2, e i s l a r,0,5,1,0
corticosteroid, 14, 8, 2, 0, i s,0,2,0,0
corticosteroids, 15, 8, 2, 0, i t,0,2,0,0
cortisol, 8, 7, 6, 2, e i s r t n,0,5,2,0
cortisone, 9, 8, 4, 1, e a i t,0,4,1,0
coruscates, 10, 8, 7, 1, e s n a t u o,0,7,2,0
corvette, 8, 6, 5, 1, e n t o r,0,8,4,0
corvettes, 9, 7, 7, 1, e s i c o t v,0,8,3,0
cosier, 6, 6, 8, 3, e r a i o s n h,0,9,4,0
cosiest, 7, 6, 7, 2, e s t i o r n,0,8,3,0
cosily, 6, 6, 9, 4, e a i n s y l o r,0,8,5,0
cosine, 6, 6, 6, 2, e l i r n s,0,7,2,0
cosines, 7, 6, 6, 4, e r d s u t,0,6,2,0
cosiness, 8, 6, 7, 2, e s n t h i o,0,7,2,0
cosmetic, 8, 7, 4, 0, e s t i,0,5,1,0
cosmetically, 12, 10, 7, 0, i a e y l o t,0,4,0,0
cosmetics, 9, 7, 4, 1, e i n t,0,6,2,0
cosmic, 6, 5, 7, 4, e a i o n r s,0,7,4,0
cosmical, 8, 7, 6, 2, e i s a l t,0,5,2,0
cosmically, 10, 8, 6, 2, e i a l y r,0,7,3,0
cosmological, 12, 8, 4, 2, i t e o,0,5,2,0
cosmologically, 14, 9, 3, 0, i a o,0,5,2,0
cosmologies, 11, 8, 3, 0, e i o,0,4,2,0
cosmologist, 11, 8, 5, 2, e i n s t,0,5,2,0
cosmologists, 12, 8, 3, 0, i t s,0,5,2,0
cosmology, 9, 7, 4, 3, e i a o,0,5,4,0
cosmonaut, 9, 8, 7, 2, e i a o c t n,0,6,2,0
cosmonauts, 10, 8, 7, 3, e i o a n m y,0,6,2,0
cosmopolitan, 12, 10, 3, 0, i t n,0,3,1,0
cosmopolitans, 13, 10, 2, 0, i t,0,3,1,0
cosmos, 6, 4, 9, 8, e a i o r n w t p,0,7,5,0
cossacks, 8, 5, 4, 2, e i a s,0,7,4,0
cosset, 6, 5, 6, 3, e r d s t u,0,7,3,0
cosseted, 8, 6, 8, 2, e d r n c t o s,0,7,3,0
cossets, 7, 5, 3, 0, e s t,0,7,3,0
cost, 4, 4, 9, 6, e a o s t p m l h,0,12,8,0
costar, 6, 6, 9, 5, e a l o m n r c g,0,8,3,0
costarred, 9, 8, 6, 2, e s d n t f,0,7,2,0
costarring, 10, 9, 7, 1, e i n g a o r,0,5,1,0
costars, 7, 6, 4, 2, e i a s,0,7,3,0
costcutting, 11, 8, 6, 3, e i n g a r,0,2,1,0
costed, 6, 6, 10, 5, e r d a o l t s p h,0,12,6,0
costeffective, 13, 8, 3, 1, i n o,0,1,0,0
costeffectiveness, 17, 9, 3, 0, i v s,0,1,0,0
costefficient, 13, 8, 2, 0, i s,0,2,0,0
costing, 7, 7, 12, 6, e i n g a o r l t s p h,0,12,6,0
costings, 8, 7, 9, 3, e i s n g t a o p,0,12,6,0
costive, 7, 7, 7, 2, e a i o c n t,0,9,4,0
costless, 8, 6, 5, 2, e s n t i,0,7,3,0
costlier, 8, 8, 5, 2, e s d u i,0,7,2,0
costliest, 9, 7, 3, 0, e s t,0,7,2,0
costliness, 10, 8, 4, 0, e s n l,0,7,1,0
costly, 6, 6, 10, 5, e a i o u y l t s m,0,12,7,0
costs, 5, 4, 9, 6, e s t u a i o p h,0,12,8,0
costume, 7, 7, 8, 3, e a i u o t s r,0,8,4,0
costumed, 8, 8, 5, 1, e s d u r,0,8,4,0
costumes, 8, 7, 6, 2, e s t p a u,0,8,4,0
cosy, 4, 4, 9, 6, e a o s t y r p n,0,12,9,2
cot, 3, 3, 12, 10, a o t s r p n l j h g d,2,12,9,4
coterie, 7, 6, 5, 2, e n r s i,0,4,1,0
coterminous, 11, 10, 4, 1, e i l s,0,4,1,0
cots, 4, 4, 10, 7, e a o s t r p l j d,0,12,8,0
cottage, 7, 6, 6, 1, e a t g o p,0,12,7,0
cottages, 8, 7, 7, 1, e s i a g o t,0,3,0,0
cotton, 6, 4, 9, 5, e a i o r n c p t,0,6,3,0
cottoned, 8, 6, 7, 2, e s d a o t n,0,6,2,0
cottons, 7, 5, 9, 4, e i a o s n c p t,0,6,3,0
couch, 5, 4, 10, 6, e s a o y u d t h c,0,12,9,5
couched, 7, 6, 10, 4, e r d l s t c h o u,0,12,7,0
couches, 7, 6, 10, 4, e r d s i l c h o u,0,12,7,0
couching, 8, 7, 8, 2, e i n g a o u c,0,12,7,0
cougar, 6, 6, 9, 4, e a l o m n r c g,0,10,7,0
cougars, 7, 7, 7, 3, e i a s o r l,0,10,6,0
cough, 5, 5, 10, 6, e s a o y u d t h c,0,12,9,5
coughed, 7, 7, 8, 4, e r d l s t c h,0,12,7,0
coughing, 8, 7, 8, 2, e i n g u h o r,0,12,7,0
coughs, 6, 6, 12, 6, e a i o u s d t h g r c,0,12,8,0
could, 5, 5, 11, 7, e s a o y u d n l w m,0,12,8,0
couloir, 7, 6, 5, 2, e i a o l,0,10,6,0
coulomb, 7, 6, 7, 5, e i a o s c r,0,10,8,0
coulombs, 8, 7, 8, 4, e i a o c n s m,0,10,7,0
council, 7, 6, 5, 2, e i a o n,0,6,3,0
councillor, 10, 7, 3, 1, e i l,0,5,3,0
councillors, 11, 8, 5, 2, e i a o u,0,6,3,0
councils, 8, 7, 7, 2, e i n s l o a,0,7,3,0
counsel, 7, 7, 5, 2, e r d s l,0,7,3,0
counselled, 10, 8, 4, 1, e r n s,0,6,3,0
counselling, 11, 9, 2, 0, e n,0,6,2,0
counsellor, 10, 8, 4, 1, e i o r,0,6,3,0
counsellors, 11, 8, 4, 0, e n r s,0,6,3,0
counsels, 8, 7, 4, 1, e s r n,0,7,3,0
count, 5, 5, 11, 7, e s a o y u d t n m f,0,12,8,0
countability, 12, 10, 6, 0, i t y l b a,0,4,1,0
countable, 9, 9, 7, 2, e a i u t o m,0,12,5,0
countably, 9, 9, 7, 3, e i a o s y l,0,6,2,0
countdown, 9, 7, 6, 4, e i a o s n,0,6,3,0
counted, 7, 7, 12, 6, e r d l s t n a o i u m,0,12,6,0
countenance, 11, 7, 3, 0, e a n,0,3,0,0
countenanced, 12, 8, 9, 2, i e t a n u o c s,0,7,2,0
countenances, 12, 8, 9, 1, i e t a n u o c s,0,7,1,0
countenancing, 13, 9, 2, 0, i n,0,2,0,0
counter, 7, 7, 8, 4, e r i l s c h u,0,8,3,0
counteract, 10, 8, 5, 1, e i o a t,0,2,0,0
counteracted, 12, 9, 3, 1, i e t,0,2,0,0
counteracting, 13, 10, 6, 0, i n g r u o,0,3,0,0
counteracts, 11, 9, 5, 0, e n r u t,0,2,0,0
counterattack, 13, 9, 4, 1, i e u r,0,2,0,0
counterattacked, 15, 10, 4, 1, i e d a,0,2,0,0
counterattacks, 14, 10, 3, 1, i e a,0,2,0,0
counterbalance, 14, 10, 2, 1, i e,0,3,0,0
counterbalanced, 15, 11, 4, 1, i e d a,0,2,0,0
counterbalancing, 16, 12, 3, 0, i r e,0,2,0,0
countered, 9, 8, 6, 1, e r d t s n,0,6,2,0
counterfeit, 11, 9, 4, 1, e s r i,0,2,0,0
counterfeited, 13, 10, 4, 2, i s a d,0,1,0,0
counterfeiters, 14, 10, 2, 0, i r,0,1,0,0
counterfeiting, 14, 10, 2, 0, i t,0,3,1,0
counterfeits, 12, 10, 6, 0, i n s r f e,0,2,0,0
counterfoil, 11, 10, 5, 0, e n r u t,0,4,1,0
counterfoils, 12, 11, 6, 0, i n s r f e,0,4,1,0
countering, 10, 9, 10, 1, e i n g r u d t c o,0,6,1,0
counterintelligence, 19, 10, 1, 0, n,0,1,0,0
counterintuitive, 16, 9, 1, 0, i,0,1,0,0
countermanded, 13, 10, 3, 1, i e a,0,3,0,0
countermeasures, 15, 10, 2, 1, i e,0,1,0,0
counteroffensive, 16, 11, 3, 0, i r e,0,1,0,0
counterpane, 11, 9, 3, 0, e a r,0,3,0,0
counterpart, 11, 9, 3, 0, e n r,0,2,0,0
counterparts, 12, 10, 5, 1, i e o a t,0,2,0,0
counterpoint, 12, 9, 3, 0, i n t,0,2,0,0
counterpointed, 14, 10, 2, 0, i r,0,2,0,0
counterpoints, 13, 10, 3, 0, i s n,0,2,0,0
counterpoise, 12, 10, 3, 0, i n s,0,2,0,0
counterproductive, 17, 11, 2, 0, i v,0,1,0,0
counterrevolution, 17, 10, 2, 0, i v,0,1,0,0
counterrevolutionaries, 22, 12, 1, 0, s,0,1,0,0
counterrevolutionary, 20, 12, 1, 0, t,0,1,0,0
counters, 8, 8, 7, 2, e s r l n t i,0,7,2,0
countersign, 11, 10, 4, 0, e n i s,0,5,1,0
countersigned, 13, 11, 4, 0, i t s r,0,3,1,0
